Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Japan,20,17,3,0,0
Republic of Korea,15,8,4,3,0
Viet Nam,8 (1),6 (1),2,0,0
Singapore,18,18,0,0,0
Australia,12,12,0,0,0
Malaysia,8,7,1,0,0
Cambodia,1,1,0,0,0
Philippines,2,1,0,1,1
Thailand,19,18,1,0,0
Nepal,1,1,0,0,0
Sri Lanka,1,1,0,0,0
India,3 (1),3(1),0,0,0
United States of America,11 (3),8(1),2(1),(1),0
Canada,4,3,0,1,0
France,6,5,1,0,0
Finland,1,1,0,0,0
Germany,10 (2),2 (2),8,0,0
Italy,2,2,0,0,0
Russian Federation,2,2,0,0,0
Spain,1,0,1,0,0
Sweden,1,1,0,0,0
United Kingdom,2,1,1,0,0
United Arab Emirates,5,5,0,0,0
Total Confirmed,17391 (2838),123 (5),24 (1),6 (1),362 (57)
