Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83597,115,3351,2,Clusters of cases,0
Republic of Korea,10537,25,217,3,Clusters of cases,0
Japan,7255,507,102,4,Clusters of cases,0
Australia,6322,33,61,4,Clusters of cases,0
Malaysia,4683,153,76,3,Clusters of cases,0
Philippines,4648,220,297,50,Clusters of cases,0
Singapore,2532,233,8,0,Clusters of cases,0
New Zealand,1064,15,5,1,Sporadic cases,0
Viet Nam,262,4,0,0,Clusters of cases,0
Brunei Darussalam,136,0,1,0,Sporadic cases,2
Cambodia,122,0,0,0,Sporadic cases,1
Lao People's Democratic Republic,19,3,0,0,Sporadic cases,0
Fiji,16,0,0,0,Sporadic cases,2
Mongolia,16,0,0,0,Sporadic cases,4
Papua New Guinea,2,0,0,0,Sporadic cases,4
Territories**,,,,,,
Guam,133,0,5,0,Clusters of cases,1
French Polynesia,53,2,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,10
Northern Mariana Islands (Commonwealth of the),11,0,2,0,Pending,4
European Region,,,,,,
Spain,166019,4167,16972,619,Pending,0
Italy,156363,4092,19901,431,Pending,0
Germany,123016,2537,2799,126,Pending,0
France,94382,1595,14374,560,Pending,0
The United Kingdom,84283,5288,10612,737,Pending,0
Turkey,56956,4789,1198,97,Community transmission,0
Belgium,29647,1629,3600,254,Pending,0
Netherlands,25587,1174,2737,94,Pending,0
Switzerland,25220,400,858,27,Community transmission,0
Russian Federation,18328,2558,148,18,Clusters of cases,0
Portugal,16585,598,504,34,Pending,0
Austria,13937,130,350,13,Pending,0
Israel,10878,353,103,7,Pending,0
Sweden,10483,332,899,12,Pending,0
Ireland,9655,727,334,14,Pending,0
Poland,6674,318,232,24,Pending,0
Norway,6415,95,103,5,Pending,0
Romania,6300,310,306,24,Pending,0
Denmark,6174,178,273,13,Pending,0
Czechia,5991,89,138,9,Pending,0
Serbia,3630,250,80,6,Pending,0
Luxembourg,3281,11,66,4,Pending,0
Ukraine,3102,325,93,10,Clusters of cases,0
Finland,2974,69,56,7,Pending,0
Belarus,2578,352,26,3,Clusters of cases,0
Greece,2114,33,98,5,Pending,0
Iceland,1701,12,8,0,Pending,0
Republic of Moldova,1662,102,33,3,Pending,0
Croatia,1600,66,23,2,Pending,0
Hungary,1458,48,109,10,Pending,0
Estonia,1309,5,25,1,Pending,0
Slovenia,1205,17,53,3,Pending,0
Azerbaijan,1098,40,11,0,Clusters of cases,0
Lithuania,1062,9,24,1,Pending,0
