Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83745,49,3352,1,Clusters of cases,0
Republic of Korea,10591,27,225,3,Clusters of cases,0
Japan,8100,455,119,10,Clusters of cases,0
Australia,6416,50,61,0,Clusters of cases,0
Philippines,5223,291,335,20,Clusters of cases,0
Malaysia,4987,170,82,5,Clusters of cases,0
Singapore,3252,334,10,1,Clusters of cases,0
New Zealand,1078,6,9,0,Clusters of cases,0
Viet Nam,266,1,0,0,Clusters of cases,0
Brunei Darussalam,136,0,1,0,Sporadic cases,4
Cambodia,122,0,0,0,Sporadic cases,3
Mongolia,30,13,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,2
Fiji,16,0,0,0,Sporadic cases,4
Papua New Guinea,2,0,0,0,Sporadic cases,6
Territories**,,,,,,
Guam,135,1,5,0,Clusters of cases,0
French Polynesia,55,0,0,0,Sporadic cases,1
New Caledonia,18,0,0,0,Sporadic cases,12
Northern Mariana Islands (Commonwealth of the),13,2,2,0,Pending,0
European Region,,,,,,
Spain,172541,3045,18056,567,Pending,0
Italy,162488,2972,21069,604,Pending,0
Germany,127584,2486,3254,285,Pending,0
France,102533,5483,15708,762,Pending,0
The United Kingdom,93877,5252,12107,778,Pending,0
Turkey,65111,4062,1403,107,Community transmission,0
Belgium,31119,530,4157,254,Pending,0
Netherlands,27419,868,2945,122,Pending,0
Switzerland,25753,254,900,15,Community transmission,0
Russian Federation,24490,3388,198,28,Clusters of cases,0
Portugal,17448,514,567,32,Pending,0
Austria,14234,191,384,16,Pending,0
Israel,11868,633,117,7,Pending,0
Ireland,11479,832,406,41,Pending,0
Sweden,11445,497,1033,114,Pending,0
Poland,7202,268,263,18,Pending,0
Romania,6879,246,344,26,Pending,0
Norway,6566,78,127,13,Pending,0
Denmark,6511,193,299,14,Pending,0
Czechia,6141,82,161,18,Pending,0
Serbia,4465,411,94,9,Pending,0
Ukraine,3764,392,108,10,Clusters of cases,0
Luxembourg,3307,15,69,0,Pending,0
Belarus,3281,362,33,4,Clusters of cases,0
Finland,3161,97,64,5,Pending,0
Greece,2170,25,101,2,Pending,0
Republic of Moldova,1934,222,41,5,Pending,0
Iceland,1720,9,8,0,Pending,0
Croatia,1704,54,31,6,Pending,0
Hungary,1579,67,134,12,Pending,0
Estonia,1373,41,31,3,Pending,0
Kazakhstan,1275,184,12,0,Pending,0
Slovenia,1220,8,56,1,Pending,0
Uzbekistan,1214,160,4,0,Clusters of cases,0
Azerbaijan,1197,49,13,1,Clusters of cases,0
Bosnia and Herzegovina,1086,52,40,2,Community transmission,0
Lithuania,1070,0,24,0,Pending,1
Armenia,1067,28,16,2,Clusters of cases,0
North Macedonia,908,54,44,6,Clusters of cases,0
Slovakia,835,66,2,0,Pending,0
Bulgaria,713,28,35,3,Pending,0
Cyprus,695,33,17,0,Pending,0
Andorra,659,8,31,2,Community transmission,0
Latvia,657,2,5,0,Pending,0
Albania,475,0,24,1,Clusters of cases,1
Kyrgyzstan,449,19,5,0,Pending,0
Malta,393,9,3,0,Pending,0
San Marino,372,1,36,0,Community transmission,0
Georgia,306,10,3,0,Clusters of cases,0
