Reporting Country/ Territory/Area†,Total confirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84341,3,4643,1,Clusters of cases,0
Singapore,13624,931,12,0,Clusters of cases,0
Japan,13385,203,351,3,Clusters of cases,0
Republic of Korea,10738,10,243,1,Clusters of cases,0
Philippines,7579,285,501,7,Clusters of cases,0
Australia,6713,10,83,2,Clusters of cases,0
Malaysia,5780,38,98,0,Clusters of cases,0
New Zealand,1122,1,19,1,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,2
Brunei Darussalam,138,0,1,0,Sporadic cases,7
Cambodia,122,0,0,0,Sporadic cases,15
Mongolia,38,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,14
Fiji,18,0,0,0,Sporadic cases,6
Papua New Guinea,8,0,0,0,Sporadic cases,4
Territories**,,,,,,
Guam,137,0,5,0,Clusters of cases,1
French Polynesia,57,0,0,0,Sporadic cases,5
New Caledonia,18,0,0,0,Sporadic cases,24
Northern Mariana Islands (Common-wealth of the),14,0,2,0,Pending,9
European Region,,,,,,
Spain,207634,0,23190,666,Pending,0
Italy,197675,2324,26644,260,Community transmission,0
Germany,155193,1018,5750,110,Community transmission,0
The United Kingdom,152844,4463,20732,413,Community transmission,0
France,123279,404,22821,241,Community transmission,0
Turkey,110130,2357,2805,99,Community transmission,0
Russian Federation,87147,12559,794,113,Clusters of cases,0
Belgium,46134,809,7094,177,Community transmission,0
Netherlands,37845,655,4475,66,Community transmission,0
Switzerland,28978,0,1336,0,Community transmission,1
Portugal,23864,472,903,23,Pending,0
Ireland,19262,701,1087,24,Community transmission,0
Sweden,18640,463,2194,2,Community transmission,0
Israel,15398,0,199,0,Pending,1
Austria,15189,55,542,6,Community transmission,0
Poland,11617,344,535,11,Pending,0
Romania,11036,401,608,33,Community transmission,0
Belarus,10463,873,72,5,Clusters of cases,0
Ukraine,9009,392,220,11,Community transmission,0
Denmark,8575,130,422,4,Pending,0
Serbia,8042,263,156,5,Pending,0
Norway,7505,38,193,0,Pending,0
Czechia,7404,52,221,3,Community transmission,0
Finland,4576,101,190,4,Pending,0
Luxembourg,3723,12,88,3,Pending,0
Republic of Moldova,3408,104,96,2,Pending,0
Kazakhstan,2791,190,25,0,Pending,0
Hungary,2583,83,280,8,Clusters of cases,0
Greece,2506,0,130,0,Community transmission,1
Croatia,2030,14,55,1,Community transmission,0
Uzbekistan,1887,22,8,0,Clusters of cases,0
Armenia,1808,62,29,1,Clusters of cases,0
Iceland,1792,2,10,0,Community transmission,0
Azerbaijan,1645,28,21,0,Clusters of cases,0
Estonia,1643,8,49,3,Pending,0
Bosnia and Herzegovina,1516,31,58,2,Community transmission,0
Lithuania,1449,11,41,0,Community transmission,0
Slovenia,1407,19,82,1,Community transmission,0
North Macedonia,1386,19,61,2,Clusters of cases,0
Slovakia,1379,6,18,1,Clusters of cases,0
Bulgaria,1300,53,56,1,Pending,0
Cyprus,817,7,17,0,Clusters of cases,0
Latvia,812,8,12,0,Pending,0
Andorra,740,2,40,0,Community transmission,0
Albania,726,14,28,1,Clusters of cases,0
Kyrgyzstan,695,13,8,0,Pending,0
San Marino,538,25,41,1,Community transmission,0
Georgia,496,11,6,1,Community transmission,0
Malta,448,0,4,0,Pending,1
Montenegro,321,2,7,1,Clusters of cases,0
Liechtenstein,83,0,1,0,Pending,1
Monaco,68,0,1,0,Sporadic cases,13
Holy See,9,0,0,0,Sporadic cases,6
Territories**,,,,,,
Kosovo[1],763,32,21,1,Community transmission,0
Isle of Man,308,0,18,0,Pending,2
Jersey,280,2,19,0,Pending,0
Guernsey,245,0,12,1,Community transmission,2
Faroe Islands,187,0,0,0,Pending,3
Gibraltar,141,5,0,0,Clusters of cases,0
Greenland,11,0,0,0,Pending,21
South-East Asia Region,,,,,,
India,27892,1396,872,48,Clusters of cases,0
Indonesia,8882,275,743,23,Community transmission,0
Bangladesh,5416,418,145,5,Pending,0
Thailand,2931,9,52,1,Pending,0
Sri Lanka,523,63,7,0,Clusters of cases,0
Maldives,188,51,0,0,Clusters of cases,0
Myanmar,146,0,5,0,Clusters of cases,1
Nepal,51,2,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,3
Bhutan,7,0,0,0,Sporadic cases,4
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),90481,1153,5710,60,Community transmission,0
Saudi Arabia,17522,1223,139,3,Clusters of cases,0
Pakistan,13328,605,281,12,Clusters of cases,0
United Arab Emirates,10349,536,76,5,Pending,0
Qatar,10287,929,10,0,Pending,0
Egypt,4534,215,317,10,Clusters of cases,0
Morocco,4065,168,161,2,Clusters of cases,0
Kuwait,3075,183,20,1,Clusters of cases,0
Bahrain,2647,58,8,0,Clusters of cases,0
Oman,2049,51,10,0,Clusters of cases,0
Iraq,1820,57,87,1,Clusters of cases,0
Afghanistan,1531,68,50,1,Clusters of cases,0
Djibouti,1023,15,2,0,Clusters of cases,0
Tunisia,949,10,38,0,Community transmission,0
Lebanon,707,3,24,0,Clusters of cases,0
Jordan,447,3,7,0,Clusters of cases,0
Somalia,436,46,23,5,Sporadic cases,0
Sudan,237,24,21,4,Sporadic cases,0
Libya,61,0,2,0,Clusters of cases,2
Syrian Arab Republic,42,0,3,0,Community transmission,5
Yemen,1,0,0,0,Pending,16
Territories**,,,,,,
occupied Palestinian territory,342,0,2,0,Clusters of cases,1
Region of the Americas,,,,,,
United States of America,931698,32417,47980,1776,Community transmission,0
Brazil,58509,5514,4016,346,Community transmission,0
Canada,45778,1425,2489,139,Community transmission,0
Peru,25331,3683,700,66,Community transmission,0
Ecuador,22719,0,576,0,Community transmission,2
Mexico,13842,970,1305,84,Community transmission,0
Chile,13331,473,189,8,Community transmission,0
Dominican Republic,6135,209,278,5,Community transmission,0
Panama,5538,200,159,5,Community transmission,0
Colombia,5142,261,233,8,Community transmission,0
Argentina,3838,137,179,0,Community transmission,0
Cuba,1369,32,54,3,Clusters of cases,0
Bolivia (Plurinational State of),866,59,46,2,Clusters of cases,0
Costa Rica,693,6,6,0,Clusters of cases,0
Honduras,627,36,59,4,Clusters of cases,0
Uruguay,596,33,14,2,Clusters of cases,0
Guatemala,473,43,15,2,Clusters of cases,0
Venezuela (Bolivarian Republic of),323,5,10,0,Clusters of cases,0
Jamaica,305,17,7,0,Clusters of cases,0
El Salvador,298,24,8,0,Clusters of cases,0
Paraguay,228,5,9,0,Community transmission,0
Trinidad and Tobago,115,0,8,0,Sporadic cases,4
Barbados,79,2,6,0,Clusters of cases,0
Bahamas,78,6,11,0,Clusters of cases,0
Guyana,74,1,8,1,Clusters of cases,0
Haiti,72,0,6,0,Clusters of cases,2
Antigua and Barbuda,24,0,3,0,Clusters of cases,4
Belize,18,0,2,0,Sporadic cases,12
Grenada,18,3,0,0,Clusters of cases,0
Dominica,16,0,0,0,Clusters of cases,16
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,6
Saint Lucia,15,0,0,0,Sporadic cases,15
Saint Vincent and the Grenadines,14,0,0,0,Sporadic cases,2
Nicaragua,13,2,3,0,Pending,0
Suriname,10,0,1,0,Sporadic cases,23
Territories**,,,,,,
Puerto Rico,1371,95,53,0,Clusters of cases,0
