Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,82724,93,3327,6,Local transmission,0
Republic of Korea,9976,89,169,4,Local transmission,0
Australia,4976,269,21,1,Local transmission,0
Malaysia,2908,142,45,2,Local transmission,0
Japan,2384,206,57,0,Local transmission,0
Philippines,2311,227,96,8,Local transmission,0
Singapore,1000,74,3,0,Local transmission,0
New Zealand,723,76,1,0,Local transmission,0
Viet Nam,218,11,0,0,Local transmission,0
Brunei Darussalam,131,2,1,0,Local transmission,0
Cambodia,109,0,0,0,Local transmission,1
Mongolia,14,2,0,0,Imported cases only,0
Lao People's Democratic Republic,10,1,0,0,Local transmission,0
Fiji,5,0,0,0,Local transmission,7
Papua New Guinea,1,0,0,0,Imported cases only,12
Territories**,,,,,,
Guam,77,8,3,1,Local transmission,0
French Polynesia,37,0,0,0,Local transmission,1
New Caledonia,16,0,0,0,Local transmission,1
Northern Mariana Islands (Commonwealth of the),6,4,0,0,Local transmission,0
European Region,,,,,,
Italy,110574,4782,13157,727,Local transmission,0
Spain,102136,7719,9053,864,Local transmission,0
Germany,73522,6156,872,140,Local transmission,0
France,56261,4784,4019,505,Local transmission,0
The United Kingdom,29478,4324,2532,743,Local transmission,0
Switzerland,17070,962,378,5,Local transmission,0
Turkey,15679,2148,277,63,Local transmission,0
Belgium,13964,1189,828,123,Local transmission,0
Netherlands,13614,1019,1173,134,Local transmission,0
Austria,10711,529,146,18,Local transmission,0
Portugal,8251,808,187,27,Local transmission,0
Israel,5591,462,21,0,Local transmission,0
Sweden,4947,512,239,59,Local transmission,0
Norway,4665,218,32,4,Local transmission,0
Czechia,3589,281,39,8,Local transmission,0
Ireland,3447,212,85,14,Local transmission,0
Denmark,3107,247,104,14,Local transmission,0
Russian Federation,2777,440,24,7,Local transmission,0
Poland,2554,243,43,10,Local transmission,0
Romania,2460,215,85,16,Local transmission,0
Luxembourg,2319,141,29,6,Local transmission,0
Finland,1446,62,17,0,Local transmission,0
Greece,1375,61,50,1,Local transmission,0
Iceland,1220,85,2,0,Local transmission,0
Serbia,1060,160,13,0,Local transmission,0
Croatia,963,96,6,0,Local transmission,0
Slovenia,841,27,15,2,Local transmission,0
Ukraine,804,135,20,3,Local transmission,0
Estonia,779,34,5,1,Local transmission,0
Lithuania,581,48,8,1,Local transmission,0
Armenia,571,39,3,0,Local transmission,0
Hungary,525,33,20,4,Local transmission,0
Bosnia and Herzegovina,464,51,13,1,Local transmission,0
Latvia,446,48,0,0,Local transmission,0
Republic of Moldova,423,70,5,2,Local transmission,0
Bulgaria,422,23,10,2,Local transmission,0
Slovakia,400,37,0,0,Local transmission,0
Andorra,396,20,13,1,Local transmission,0
Kazakhstan,386,38,3,1,Local transmission,0
Azerbaijan,359,61,5,0,Local transmission,0
North Macedonia,354,25,11,2,Local transmission,0
Cyprus,320,58,9,1,Local transmission,0
Albania,277,34,15,2,Local transmission,0
San Marino,236,0,28,2,Local transmission,1
Belarus,192,40,2,2,Local transmission,0
Uzbekistan,190,17,2,0,Local transmission,0
Malta,188,21,0,0,Local transmission,0
Georgia,121,6,0,0,Local transmission,0
Montenegro,120,15,2,0,Local transmission,0
Kyrgyzstan,115,4,0,0,Local transmission,0
Liechtenstein,72,4,0,0,Under investigation,0
Monaco,37,0,0,0,Local transmission,1
Holy See,6,0,0,0,Under investigation,3
Territories**,,,,,,
Faroe Islands,173,4,0,0,Local transmission,0
Kosovo[1],125,13,1,0,Local transmission,0
Gibraltar,69,0,0,0,Local transmission,2
Jersey,81,18,2,0,Local transmission,0
Guernsey,78,18,1,0,Local transmission,0
Isle of Man,65,13,0,0,Local transmission,0
Greenland,10,0,0,0,Under investigation,4
South-East Asia Region,,,,,,
Thailand,1771,0,12,0,Local transmission,1
Indonesia,1677,149,157,21,Local transmission,0
India,1636,0,38,0,Local transmission,1
Sri Lanka,143,0,2,0,Local transmission,1
Bangladesh,54,0,6,0,Local transmission,1
Maldives,18,0,0,0,Local transmission,1
Myanmar,15,0,1,0,Local transmission,1
Nepal,5,0,0,0,Imported cases only,4
Bhutan,4,0,0,0,Imported cases only,3
Timor-Leste,1,0,0,0,Under investigation,12
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),47593,2987,3036,138,Local transmission,0
Pakistan,2291,252,31,5,Local transmission,0
