Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83157,86,3342,2,Local transmission,0
Republic of Korea,10384,53,200,8,Local transmission,0
Australia,5956,112,45,3,Local transmission,0
Japan,4257,351,81,1,Local transmission,0
Malaysia,3963,170,63,1,Local transmission,0
Philippines,3764,104,177,14,Local transmission,0
Singapore,1481,106,6,0,Local transmission,0
New Zealand,969,26,1,0,Local transmission,0
Viet Nam,249,4,0,0,Local transmission,0
Brunei Darussalam,135,0,1,0,Local transmission,3
Cambodia,115,0,0,0,Local transmission,1
Fiji,15,1,0,0,Local transmission,0
Mongolia,15,0,0,0,Imported cases only,1
Lao People's Democratic Republic,12,0,0,0,Local transmission,1
Papua New Guinea,1,0,0,0,Imported cases only,18
Territories**,,,,,,
Guam,121,8,4,0,Local transmission,0
French Polynesia,47,5,0,0,Local transmission,0
New Caledonia,18,0,0,0,Local transmission,5
Northern Mariana Islands (Commonwealth of the),8,0,2,1,Local transmission,5
European Region,,,,,,
Spain,140510,5478,13798,743,Local transmission,0
Italy,135586,3039,17129,604,Local transmission,0
Germany,103228,4003,1861,254,Local transmission,0
France,77226,3738,10313,1417,Local transmission,0
The United Kingdom,55246,3634,6159,786,Local transmission,0
Turkey,34109,3892,725,76,Local transmission,0
Belgium,22194,1380,2035,403,Local transmission,0
Switzerland,22164,590,641,0,Local transmission,0
Netherlands,19580,777,2101,234,Local transmission,0
Austria,12640,343,243,23,Local transmission,0
Portugal,12442,712,345,34,Local transmission,0
Israel,9404,793,71,19,Local transmission,0
Sweden,7693,487,591,114,Local transmission,0
Russian Federation,7497,1154,58,11,Local transmission,0
Norway,5863,108,69,10,Local transmission,0
Ireland,5709,345,210,36,Local transmission,0
Denmark,5071,390,203,16,Local transmission,0
Czechia,5017,195,88,10,Local transmission,0
Poland,4848,435,129,22,Local transmission,0
Romania,4417,360,182,25,Local transmission,0
Luxembourg,2970,127,44,3,Local transmission,0
Serbia,2447,247,61,3,Local transmission,0
Finland,2308,132,34,6,Local transmission,0
Greece,1832,77,81,2,Local transmission,0
Ukraine,1668,206,52,7,Local transmission,0
Iceland,1586,24,6,0,Local transmission,0
Croatia,1282,60,18,2,Local transmission,0
Estonia,1149,41,21,2,Local transmission,0
Republic of Moldova,1056,91,22,3,Local transmission,0
Slovenia,1055,34,36,6,Local transmission,0
Hungary,895,78,58,11,Local transmission,0
Lithuania,880,37,15,1,Local transmission,0
Armenia,877,44,8,0,Local transmission,0
Belarus,861,161,13,0,Local transmission,0
Bosnia and Herzegovina,781,86,32,4,Local transmission,0
Azerbaijan,717,76,8,1,Local transmission,0
Kazakhstan,709,39,6,0,Local transmission,0
North Macedonia,599,29,27,6,Local transmission,0
Slovakia,598,64,2,0,Local transmission,0
Bulgaria,577,28,23,1,Local transmission,0
Andorra,551,11,22,1,Local transmission,0
Latvia,548,6,2,1,Local transmission,0
Uzbekistan,534,62,3,1,Local transmission,0
Cyprus,494,29,14,0,Local transmission,0
Albania,400,23,22,0,Local transmission,0
Malta,293,52,0,0,Local transmission,0
San Marino,279,2,34,2,Local transmission,0
Kyrgyzstan,270,42,4,0,Local transmission,0
Montenegro,248,25,2,0,Local transmission,0
Georgia,208,13,3,1,Local transmission,0
Liechtenstein,78,0,1,0,Under investigation,2
Monaco,40,0,0,0,Local transmission,1
Holy See,7,0,0,0,Under investigation,5
Territories**,,,,,,
Faroe Islands,184,3,0,0,Local transmission,0
Kosovo[1],184,19,5,2,Local transmission,0
Jersey,170,15,3,0,Local transmission,0
Guernsey,166,12,4,1,Local transmission,0
Isle of Man,150,23,1,0,Local transmission,0
Gibraltar,113,10,1,0,Local transmission,0
Greenland,11,0,0,0,Under investigation,2
South-East Asia Region,,,,,,
India,5194,1127,149,40,Local transmission,0
Indonesia,2738,247,221,12,Local transmission,0
Thailand,2369,149,30,4,Local transmission,0
Sri Lanka,186,10,6,1,Local transmission,0
Bangladesh,164,41,17,5,Local transmission,0
Myanmar,22,1,3,2,Local transmission,0
Maldives,19,0,0,0,Local transmission,5
Nepal,9,0,0,0,Local transmission,3
Bhutan,5,0,0,0,Imported cases only,5
Timor-Leste,1,0,0,0,Imported cases only,18
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),62589,2089,3872,133,Local transmission,0
Pakistan,4072,208,58,4,Local transmission,0
Saudi Arabia,2795,43,41,3,Local transmission,0
United Arab Emirates,2359,283,12,1,Local transmission,0
Qatar,2057,225,6,2,Local transmission,0
Egypt,1450,128,94,9,Local transmission,0
Morocco,1184,43,90,7,Local transmission,0
Iraq,1122,91,65,1,Local transmission,0
Bahrain,811,55,5,1,Local transmission,0
Kuwait,743,78,1,0,Local transmission,0
Tunisia,623,27,23,1,Local transmission,0
Lebanon,548,7,19,0,Local transmission,0
Afghanistan,423,56,14,3,Local transmission,0
Oman,419,48,2,0,Local transmission,0
Jordan,353,4,6,0,Local transmission,0
Djibouti,121,31,0,0,Local transmission,0
Libya,20,2,1,0,Local transmission,0
Syrian Arab Republic,19,0,2,0,Local transmission,2
Sudan,14,0,2,0,Local transmission,1
Somalia,8,1,0,0,Local transmission,0
Territories**,,,,,,
occupied Palestinian territory,263,9,1,0,Local transmission,0
Region of the Americas,,,,,,
United States of America,363321,29510,10845,1286,Local transmission,0
Canada,17049,1243,345,52,Local transmission,0
Brazil,12056,926,553,67,Local transmission,0
Chile,5116,301,43,6,Local transmission,0
Ecuador,3747,0,191,0,Local transmission,1
Peru,2561,280,92,9,Local transmission,0
Mexico,2439,296,125,31,Local transmission,0
Panama,2100,112,55,1,Local transmission,0
Dominican Republic,1956,128,98,12,Local transmission,0
Argentina,1628,74,53,7,Local transmission,0
Colombia,1579,94,46,11,Local transmission,0
Costa Rica,467,13,2,0,Local transmission,0
Uruguay,415,9,6,0,Local transmission,0
Cuba,396,46,11,2,Local transmission,0
Honduras,305,7,22,0,Local transmission,0
Bolivia (Plurinational State of),194,11,14,3,Local transmission,0
Venezuela (Bolivarian Republic of),165,6,7,4,Local transmission,0
Paraguay,115,2,5,0,Local transmission,0
Trinidad and Tobago,106,1,8,0,Local transmission,0
El Salvador,78,9,4,1,Local transmission,0
Guatemala,77,7,3,0,Local transmission,0
Barbados,60,4,2,1,Local transmission,0
Jamaica,59,1,3,0,Local transmission,0
Bahamas,33,4,5,0,Local transmission,0
Guyana,31,2,5,1,Local transmission,0
Haiti,25,1,1,0,Imported cases only,0
Antigua and Barbuda,15,0,0,0,Local transmission,1
Dominica,15,1,0,0,Local transmission,0
Saint Lucia,14,0,0,0,Local transmission,2
Grenada,12,0,0,0,Local transmission,3
Saint Kitts and Nevis,10,0,0,0,Imported cases only,1
Suriname,10,0,1,0,Local transmission,4
Belize,7,0,1,0,Local transmission,1
Saint Vincent and the Grenadines,7,0,0,0,Imported cases only,1
Nicaragua,6,0,1,0,Imported cases only,1
Territories**,,,,,,
Puerto Rico,573,60,23,2,Local transmission,0
Martinique,151,2,4,0,Local transmission,0
Guadeloupe,139,4,7,0,Local transmission,0
French Guiana,72,4,0,0,Local transmission,0
Aruba,71,7,0,0,Local transmission,0
United States Virgin Islands,43,0,1,0,Local transmission,1
Sint Maarten,40,3,8,2,Imported cases only,0
Bermuda,39,2,2,2,Local transmission,0
Cayman Islands,39,0,1,0,Local transmission,1
Saint Martin,31,0,2,0,Under investigation,1
Curaçao,13,0,1,0,Imported cases only,1
Turks and Caicos Islands,8,3,1,0,Local transmission,0
Montserrat,6,0,0,0,Imported cases only,3
Saint Barthélemy,6,0,0,0,Under investigation,8
Anguilla,3,0,0,0,Local transmission,4
British Virgin Islands,3,0,0,0,Imported cases only,7
"Bonaire, Sint Eustatius and Saba",2,0,0,0,Imported cases only,4
Falkland Islands (Malvinas),2,0,0,0,Under investigation,2
Saint Pierre and Miquelon,1,1,0,0,Imported cases only,0
African Region,,,,,,
South Africa,1749,63,13,1,Local transmission,0
Algeria,1468,45,194,21,Local transmission,0
Cameroon,555,0,9,0,Local transmission,3
Burkina Faso,364,19,18,1,Local transmission,0
Côte d’Ivoire,349,26,3,0,Local transmission,0
Ghana,287,73,5,0,Local transmission,0
Niger,278,94,11,1,Local transmission,0
