Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84250,13,4642,0,Clusters of cases,0
Japan,11118,367,186,15,Clusters of cases,0
Republic of Korea,10683,9,237,1,Clusters of cases,0
Singapore,8014,1426,11,0,Clusters of cases,0
Australia,6625,13,71,1,Clusters of cases,0
Philippines,6459,200,428,19,Clusters of cases,0
Malaysia,5424,35,89,0,Clusters of cases,0
New Zealand,1107,2,13,1,Clusters of cases,0
Viet Nam,268,0,0,0,Clusters of cases,4
Brunei Darussalam,138,0,1,0,Sporadic cases,1
Cambodia,122,0,0,0,Sporadic cases,9
Mongolia,33,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,8
Fiji,18,1,0,0,Sporadic cases,0
Papua New Guinea,7,0,0,0,Sporadic cases,4
Territories**,,,,,,
Guam,133,0,5,0,Clusters of cases,9
French Polynesia,56,1,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,18
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,3
European Region,,,,,,
Spain,200210,4266,20852,399,Pending,0
Italy,181228,2256,24114,454,Pending,0
Germany,143457,1785,4598,194,Pending,0
The United Kingdom,124747,4676,16509,449,Pending,0
France,113513,2050,20233,544,Pending,0
Turkey,90980,4674,2140,123,Community transmission,0
Russian Federation,52763,9910,456,95,Clusters of cases,0
Belgium,39983,1487,5828,145,Pending,0
Netherlands,33405,750,3751,67,Pending,0
Switzerland,27862,204,1141,7,Community transmission,0
Portugal,20863,657,735,21,Pending,0
Ireland,15652,401,687,77,Pending,0
Austria,14783,73,470,18,Pending,0
Sweden,14777,392,1580,40,Pending,0
Israel,13883,521,181,10,Pending,0
Poland,9593,306,380,20,Pending,0
Romania,8936,190,451,17,Pending,0
Denmark,7515,131,364,9,Pending,0
Norway,7113,45,154,0,Pending,0
Czechia,6914,127,196,8,Pending,0
Serbia,6630,312,125,3,Pending,0
Belarus,6264,1485,51,4,Clusters of cases,0
Ukraine,6125,415,161,10,Community transmission,0
Finland,3868,85,98,4,Pending,0
Luxembourg,3558,8,75,2,Pending,0
Republic of Moldova,2548,76,70,3,Pending,0
Greece,2245,10,116,6,Pending,0
Hungary,2098,114,213,14,Pending,0
Croatia,1881,10,47,0,Pending,0
Kazakhstan,1852,306,19,2,Pending,0
Iceland,1773,2,10,1,Pending,0
Uzbekistan,1657,92,5,0,Clusters of cases,0
Estonia,1535,7,40,0,Pending,0
Azerbaijan,1436,38,19,0,Clusters of cases,0
Lithuania,1350,24,37,1,Pending,0
Armenia,1339,48,22,2,Clusters of cases,0
Slovenia,1335,5,74,0,Pending,0
Bosnia and Herzegovina,1300,14,49,3,Community transmission,0
North Macedonia,1225,18,54,3,Clusters of cases,0
Slovakia,1173,12,13,1,Pending,0
Bulgaria,929,14,43,0,Pending,0
Cyprus,772,5,17,0,Pending,0
Latvia,739,12,5,0,Pending,0
Andorra,718,1,36,0,Community transmission,0
Albania,609,47,26,0,Clusters of cases,0
