Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Japan,20,17,3,0,0
Republic of Korea,16 (1),8,5 (1),3,0
Viet Nam,9 (1),7 (1),2,0,0
Singapore,18,18,0,0,0
Australia,12,12,0,0,0
Malaysia,10 (2),7,2 (1),1 (1),0
Cambodia,1,1,0,0,0
Philippines,2,1,0,1,1
Thailand,19,18,1,0,0
Nepal,1,1,0,0,0
Sri Lanka,1,1,0,0,0
India,3,3,0,0,0
United States of America,11,8,2,1,0
Canada,4,3,0,1,0
France,6,5,1,0,0
Finland,1,1,0,0,0
Germany,12 (2),2,10 (2),0,0
Italy,2,2,0,0,0
Russian Federation,2,2,0,0,0
Spain,1,0,1,0,0
Sweden,1,1,0,0,0
United Kingdom,2,1,1,0,0
United Arab,5,5,0,0,0
