Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Japan,33 (13),20 (3),13 (10),0,0
Republic of Korea,18 (2),8,7 (2),3,0
Viet Nam,10 (1),7,3 (1),0,0
Singapore,24 (6),20 (2),4 (4),0,0
Australia,13 (1),13 (1),0,0,0
Malaysia,10,7,2,1,0
Cambodia,1,1,0,0,0
Philippines,3 (1),2 (1),0,1,1
Thailand,25 (6),20 (2),5 (4),0,0
Nepal,1,1,0,0,0
Sri Lanka,1,1,0,0,0
India,3,3,0,0,0
United States of America,11,8,2,1,0
Canada,5 (1),3,0,2(1),0
France,6,5,1,0,0
Finland,1,1,0,0,0
Germany,12,2,10,0,0
Italy,2,2,0,0,0
Russian Federation,2,2,0,0,0
Spain,1,0,1,0,0
Sweden,1,1,0,0,0
United Kingdom,2,1,1,0,0
Belgium,1 (1),1 (1),0,0,0
United Arab Emirates,5,5,0,0,0
