Reporting Country/ Territory/Area†,Total confirmed‡ cases,New confirmed cases,Total deaths,New deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84347,6,4643,0,Clusters of cases,0
Singapore,14423,799,14,2,Clusters of cases,0
Japan,13576,191,376,25,Clusters of cases,0
Republic of Korea,10752,14,244,1,Clusters of cases,0
Philippines,7777,198,511,10,Clusters of cases,0
Australia,6725,12,84,1,Clusters of cases,0
Malaysia,5820,40,99,1,Clusters of cases,0
New Zealand,1124,2,19,0,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,1
Brunei Darussalam,138,0,1,0,Sporadic cases,8
Cambodia,122,0,0,0,Sporadic cases,16
Mongolia,38,0,0,0,Sporadic cases,1
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,15
Fiji,18,0,0,0,Sporadic cases,7
Papua New Guinea,8,0,0,0,Sporadic cases,5
Territories**,,,,,,
Guam,138,1,5,0,Clusters of cases,0
French Polynesia,58,1,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,25
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,10
European Region,,,,,,
Spain,209465,1831,23190,0,Pending,0
Italy,199414,1739,26977,333,Community transmission,0
The United Kingdom,157153,4309,21092,360,Community transmission,0
Germany,156337,1144,5913,163,Community transmission,0
France,127008,3729,23261,440,Community transmission,0
Turkey,112261,2131,2900,95,Community transmission,0
Russian Federation,93558,6411,867,73,Clusters of cases,0
Belgium,46687,553,7207,113,Community transmission,0
Netherlands,38245,400,4518,43,Community transmission,0
Switzerland,29081,103,1352,16,Community transmission,0
Portugal,24027,163,928,25,Pending,0
Ireland,19648,386,1102,15,Community transmission,0
Sweden,18926,286,2274,80,Community transmission,0
Israel,15466,68,202,3,Pending,0
Austria,15256,67,549,7,Community transmission,0
Belarus,12208,1745,79,7,Clusters of cases,0
Poland,11902,285,562,27,Community transmission,0
Romania,11339,303,631,23,Community transmission,0
Ukraine,9410,401,239,19,Community transmission,0
Denmark,8698,123,427,5,Pending,0
Serbia,8275,233,162,6,Pending,0
Norway,7533,28,193,0,Pending,0
Czechia,7449,45,223,2,Community transmission,0
Finland,4695,119,193,3,Pending,0
Luxembourg,3729,6,88,0,Pending,0
Republic of Moldova,3481,73,103,7,Pending,0
Kazakhstan,2982,191,25,0,Pending,0
Hungary,2649,66,291,11,Clusters of cases,0
Greece,2534,28,136,6,Community transmission,0
Croatia,2039,9,59,4,Community transmission,0
Uzbekistan,1924,37,8,0,Clusters of cases,0
Armenia,1867,59,30,1,Clusters of cases,0
Iceland,1792,0,10,0,Community transmission,1
Azerbaijan,1678,33,22,1,Clusters of cases,0
Estonia,1647,4,50,1,Pending,0
