Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84325,14,4642,0,Clusters of cases,0
Japan,12829,441,334,17,Clusters of cases,0
Singapore,12075,897,12,0,Clusters of cases,0
Republic of Korea,10718,10,240,0,Clusters of cases,0
Philippines,7192,211,477,15,Clusters of cases,0
Australia,6687,20,79,3,Clusters of cases,0
Malaysia,5691,88,96,1,Clusters of cases,0
New Zealand,1117,3,18,1,Clusters of cases,0
Viet Nam,270,2,0,0,Clusters of cases,0
Brunei Darussalam,138,0,1,0,Sporadic cases,5
Cambodia,122,0,0,0,Sporadic cases,13
Mongolia,36,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,12
Fiji,18,0,0,0,Sporadic cases,4
Papua New Guinea,8,0,0,0,Sporadic cases,2
Territories**,,,,,,
Guam,136,1,5,0,Clusters of cases,0
French Polynesia,57,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,22
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,7
European Region,,,,,,
Spain,219764,6740,22524,367,Pending,0
Italy,192994,3021,25969,420,Community transmission,0
Germany,152438,2055,5500,179,Community transmission,0
The United Kingdom,143468,5386,19506,768,Community transmission,0
France,121338,1755,22212,389,Community transmission,0
Turkey,104912,3122,2600,109,Community transmission,0
Russian Federation,68622,0,615,0,Clusters of cases,1
Belgium,44293,1496,6679,189,Community transmission,0
Netherlands,36535,806,4289,112,Community transmission,0
Switzerland,28595,181,1308,41,Community transmission,0
Portugal,22797,444,854,34,Pending,0
Ireland,18184,577,829,35,Pending,0
Sweden,17567,812,2152,131,Community transmission,0
Austria,15068,83,513,5,Pending,0
Israel,15028,225,194,2,Pending,0
Poland,10892,381,494,40,Pending,0
Romania,10417,321,552,25,Community transmission,0
Belarus,8773,751,63,3,Clusters of cases,0
Denmark,8210,137,403,9,Pending,0
Ukraine,8125,478,201,8,Community transmission,0
Serbia,7483,207,144,5,Pending,0
Norway,7408,63,191,11,Pending,0
Czechia,7273,85,215,2,Community transmission,0
Finland,4395,111,177,5,Pending,0
Luxembourg,3695,30,85,2,Pending,0
Republic of Moldova,3110,184,87,7,Pending,0
Greece,2490,27,130,5,Pending,0
Hungary,2443,60,262,12,Clusters of cases,0
Kazakhstan,2416,391,25,6,Pending,0
Croatia,2009,28,51,1,Community transmission,0
Uzbekistan,1836,58,8,1,Clusters of cases,0
Iceland,1789,0,10,0,Community transmission,1
Estonia,1605,13,46,1,Pending,0
Armenia,1596,73,27,3,Clusters of cases,0
Azerbaijan,1592,44,21,1,Clusters of cases,0
Bosnia and Herzegovina,1428,15,54,1,Community transmission,0
Lithuania,1410,0,40,0,Pending,1
Slovenia,1373,7,80,1,Community transmission,0
Slovakia,1360,35,17,2,Clusters of cases,0
North Macedonia,1326,26,57,1,Clusters of cases,0
Bulgaria,1188,91,54,2,Pending,0
Cyprus,804,9,17,0,Clusters of cases,0
Latvia,784,6,12,1,Pending,0
Andorra,733,7,40,2,Community transmission,0
Albania,678,0,28,0,Clusters of cases,1
Kyrgyzstan,665,9,8,0,Pending,0
San Marino,513,12,40,0,Community transmission,0
Georgia,456,25,5,0,Community transmission,0
Malta,447,2,3,0,Pending,0
Montenegro,319,3,5,0,Clusters of cases,0
Liechtenstein,82,0,1,0,Pending,6
Monaco,68,0,1,0,Sporadic cases,11
Holy See,9,0,0,0,Sporadic cases,4
Territories**,,,,,,
Kosovo[1],703,34,19,0,Community transmission,0
Isle of Man,308,1,17,1,Pending,0
Jersey,276,21,19,1,Pending,0
Guernsey,245,2,10,0,Community transmission,0
Faroe Islands,187,0,0,0,Pending,1
