Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84302,15,4642,0,Clusters of cases,0
Japan,11919,423,287,10,Clusters of cases,0
Republic of Korea,10702,8,240,2,Clusters of cases,0
Singapore,10141,1016,12,1,Clusters of cases,0
Philippines,6710,111,446,9,Clusters of cases,0
Australia,6654,7,74,0,Clusters of cases,0
Malaysia,5532,50,93,1,Clusters of cases,0
New Zealand,1112,0,16,2,Clusters of cases,1
Viet Nam,268,0,0,0,Clusters of cases,6
Brunei Darussalam,138,0,1,0,Sporadic cases,3
Cambodia,122,0,0,0,Sporadic cases,11
Mongolia,35,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,10
Fiji,18,0,0,0,Sporadic cases,2
Papua New Guinea,8,1,0,0,Sporadic cases,0
Territories**,,,,,,
Guam,133,0,5,0,Clusters of cases,11
French Polynesia,57,0,0,0,Sporadic cases,1
New Caledonia,18,0,0,0,Sporadic cases,20
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,5
European Region,,,,,,
Spain,208389,4211,21717,435,Pending,0
Italy,187327,3370,25085,437,Community transmission,0
Germany,148046,2352,5094,215,Community transmission,0
The United Kingdom,133499,4451,18100,763,Community transmission,0
France,117961,1810,21307,544,Community transmission,0
Turkey,98674,3083,2376,117,Community transmission,0
Russian Federation,62773,4774,555,42,Clusters of cases,0
Belgium,41889,933,6262,264,Community transmission,0
Netherlands,34842,708,4054,138,Community transmission,0
Switzerland,28186,205,1216,30,Community transmission,0
Portugal,21982,603,785,23,Pending,0
Ireland,16671,631,769,39,Pending,0
Sweden,16004,682,1937,172,Pending,0
Austria,14924,91,494,31,Pending,0
Israel,14498,556,189,5,Pending,0
Poland,10169,313,426,25,Pending,0
Romania,9710,468,508,25,Community transmission,0
Denmark,7912,217,384,14,Pending,0
Belarus,7281,558,60,5,Community transmission,0
Norway,7250,84,169,6,Pending,0
Ukraine,7170,578,187,13,Community transmission,0
Czechia,7136,95,210,9,Community transmission,0
Serbia,7114,224,134,4,Pending,0
Finland,4129,115,149,8,Pending,0
Luxembourg,3654,36,80,2,Pending,0
Republic of Moldova,2778,137,76,3,Pending,0
Greece,2408,7,121,0,Pending,0
Hungary,2284,116,225,0,Clusters of cases,0
Kazakhstan,2025,30,19,0,Pending,0
Croatia,1950,42,48,0,Pending,0
Iceland,1785,7,10,0,Community transmission,0
Uzbekistan,1716,59,7,1,Clusters of cases,0
Estonia,1559,7,44,1,Pending,0
Azerbaijan,1518,38,20,0,Clusters of cases,0
Armenia,1473,96,24,0,Clusters of cases,0
Lithuania,1398,28,38,0,Pending,0
Bosnia and Herzegovina,1367,27,52,2,Community transmission,0
Slovenia,1353,13,79,2,Community transmission,0
North Macedonia,1259,28,56,1,Clusters of cases,0
Slovakia,1244,45,14,0,Clusters of cases,0
Bulgaria,1024,49,49,4,Pending,0
Cyprus,790,6,17,0,Clusters of cases,0
Latvia,761,13,11,2,Pending,0
Andorra,724,1,37,0,Community transmission,0
Albania,634,0,27,1,Clusters of cases,1
Kyrgyzstan,631,19,8,1,Pending,0
San Marino,488,12,40,0,Community transmission,0
Malta,444,1,3,0,Pending,0
Georgia,420,9,5,0,Community transmission,0
Montenegro,314,1,5,0,Clusters of cases,0
Liechtenstein,82,0,1,0,Pending,4
Monaco,68,0,1,0,Sporadic cases,9
Holy See,9,0,0,0,Sporadic cases,2
Territories**,,,,,,
Kosovo[1],630,26,18,0,Community transmission,0
Isle of Man,307,0,10,0,Pending,1
Jersey,255,5,14,0,Pending,0
Guernsey,241,2,10,0,Community transmission,0
Faroe Islands,185,0,0,0,Pending,3
Gibraltar,133,0,0,0,Clusters of cases,5
Greenland,11,0,0,0,Pending,17
South-East Asia Region,,,,,,
India,21393,1409,681,41,Clusters of cases,0
Indonesia,7418,283,635,19,Community transmission,0
Bangladesh,3772,390,120,10,Pending,0
Thailand,2839,13,50,1,Pending,0
Sri Lanka,330,20,7,0,Clusters of cases,0
Myanmar,127,6,5,0,Clusters of cases,0
Maldives,85,2,0,0,Clusters of cases,0
Nepal,45,3,0,0,Sporadic cases,0
Timor-Leste,23,0,0,0,Clusters of cases,2
Bhutan,7,1,0,0,Sporadic cases,0
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),85996,1194,5391,94,Community transmission,0
Saudi Arabia,12772,1141,114,5,Clusters of cases,0
Pakistan,10513,764,224,15,Clusters of cases,0
United Arab Emirates,8238,483,52,6,Pending,0
Qatar,7141,608,10,1,Pending,0
Egypt,3659,169,276,12,Clusters of cases,0
Morocco,3446,237,149,4,Clusters of cases,0
Kuwait,2248,168,13,2,Clusters of cases,0
Bahrain,2027,54,7,0,Clusters of cases,0
Oman,1716,102,8,0,Clusters of cases,0
Iraq,1631,29,83,0,Clusters of cases,0
Afghanistan,1176,84,40,4,Clusters of cases,0
Djibouti,974,29,2,0,Clusters of cases,0
Tunisia,909,8,38,0,Community transmission,0
Lebanon,682,0,22,0,Clusters of cases,1
Jordan,435,7,7,0,Clusters of cases,0
Somalia,286,0,14,0,Sporadic cases,1
Sudan,162,22,13,0,Sporadic cases,0
Libya,60,1,1,0,Clusters of cases,0
Syrian Arab Republic,42,0,3,0,Community transmission,1
Yemen,1,0,0,0,Pending,12
Territories**,,,,,,
occupied Palestinian territory,336,1,2,0,Clusters of cases,0
Region of the Americas,,,,,,
United States of America,800926,24019,40073,2471,Community transmission,0
Brazil,43079,2498,2741,166,Community transmission,0
Canada,38923,1549,1871,143,Community transmission,0
Peru,17837,1512,484,39,Community transmission,0
Chile,11296,464,160,13,Community transmission,0
Ecuador,10850,452,537,17,Community transmission,0
Mexico,9501,729,857,145,Community transmission,0
Dominican Republic,5300,256,260,15,Community transmission,0
Panama,4821,163,141,5,Community transmission,0
Colombia,4149,172,196,7,Community transmission,0
Argentina,3197,124,152,7,Community transmission,0
Cuba,1189,52,40,2,Clusters of cases,0
Costa Rica,669,7,6,0,Clusters of cases,0
Bolivia (Plurinational State of),609,11,37,3,Clusters of cases,0
Uruguay,543,8,12,2,Clusters of cases,0
Honduras,510,16,46,0,Clusters of cases,0
Guatemala,316,22,8,0,Clusters of cases,0
Venezuela (Bolivarian Republic of),288,3,10,0,Clusters of cases,0
El Salvador,237,12,7,0,Clusters of cases,0
Jamaica,233,10,6,0,Clusters of cases,0
Paraguay,213,5,9,1,Community transmission,0
Trinidad and Tobago,115,1,8,0,Sporadic cases,0
Barbados,75,0,5,0,Clusters of cases,6
Guyana,67,1,7,0,Clusters of cases,0
Bahamas,65,1,9,0,Clusters of cases,0
Haiti,58,1,4,1,Clusters of cases,0
Antigua and Barbuda,24,1,3,0,Clusters of cases,0
Belize,18,0,2,0,Sporadic cases,8
Dominica,16,0,0,0,Clusters of cases,12
Saint Kitts and Nevis,15,0,0,0,Sporadic cases,2
Saint Lucia,15,0,0,0,Sporadic cases,11
Grenada,14,0,0,0,Clusters of cases,1
Saint Vincent and the Grenadines,13,1,0,0,Sporadic cases,0
Nicaragua,10,0,2,0,Pending,1
Suriname,10,0,1,0,Sporadic cases,19
Territories**,,,,,,
Puerto Rico,1298,0,64,0,Clusters of cases,1
Martinique,164,1,14,0,Clusters of cases,0
Guadeloupe,148,0,12,0,Clusters of cases,3
Aruba,100,3,2,0,Clusters of cases,0
Bermuda,98,12,5,0,Clusters of cases,0
French Guiana,97,0,1,0,Clusters of cases,2
Sint Maarten,71,3,11,1,Clusters of cases,0
Cayman Islands,66,0,1,0,Clusters of cases,1
United States Virgin Islands,54,0,3,0,Clusters of cases,1
Saint Martin,38,1,2,0,Sporadic cases,0
Curaçao,14,0,1,0,Sporadic cases,14
Falkland Islands (Malvinas),12,1,0,0,Clusters of cases,0
Montserrat,11,0,0,0,Sporadic cases,9
Turks and Caicos Islands,11,0,1,0,Sporadic cases,6
Saint Barthelemy,6,0,0,0,Sporadic cases,23
"Bonaire, Sint Eustatius and Saba",5,0,0,0,Sporadic cases,5
British Virgin Islands,4,0,1,0,Sporadic cases,3
Anguilla,3,0,0,0,Sporadic cases,19
Saint Pierre and Miquelon,1,0,0,0,Sporadic cases,15
African Region,,,,,,
South Africa,3635,170,65,7,Community transmission,0
Algeria,2910,99,402,10,Community transmission,0
Cameroon,1163,0,43,0,Clusters of cases,2
Ghana,1154,112,9,0,Clusters of cases,0
Côte d’Ivoire,952,36,14,1,Clusters of cases,0
Guinea,761,73,6,0,Community transmission,0
Niger,662,5,22,2,Clusters of cases,0
Burkina Faso,600,19,38,0,Community transmission,0
Nigeria,541,0,19,0,Community transmission,3
Senegal,442,30,6,1,Clusters of cases,0
Democratic Republic of the Congo,359,0,25,0,Clusters of cases,1
Mauritius,329,1,9,0,Community transmission,0
Kenya,303,7,14,0,Clusters of cases,0
Mali,293,35,17,3,Clusters of cases,0
United Republic of Tanzania,285,30,10,0,Clusters of cases,0
Congo,186,21,6,0,Clusters of cases,0
Gabon,166,10,1,0,Clusters of cases,0
Rwanda,153,3,0,0,Clusters of cases,0
Madagascar,121,0,0,0,Clusters of cases,3
Ethiopia,116,2,3,0,Clusters of cases,0
Liberia,101,0,8,0,Clusters of cases,1
Togo,88,2,6,0,Clusters of cases,0
Equatorial Guinea,84,5,1,1,Clusters of cases,0
Zambia,74,4,3,0,Sporadic cases,0
Cabo Verde,67,0,1,0,Sporadic cases,1
Sierra Leone,61,11,1,1,Clusters of cases,0
Uganda,61,5,0,0,Sporadic cases,0
Benin,54,0,1,0,Sporadic cases,2
Guinea-Bissau,50,0,0,0,Sporadic cases,5
Mozambique,41,2,0,0,Sporadic cases,0
Eritrea,39,0,0,0,Sporadic cases,4
Chad,34,0,0,0,Sporadic cases,1
Eswatini,31,7,1,0,Sporadic cases,0
Zimbabwe,28,0,4,1,Sporadic cases,1
Angola,24,0,2,0,Sporadic cases,2
Malawi,23,5,3,1,Sporadic cases,0
Botswana,22,2,1,0,Sporadic cases,0
Namibia,16,0,0,0,Sporadic cases,17
Central African Republic,14,0,0,0,Sporadic cases,1
Burundi,11,0,1,0,Sporadic cases,1
Seychelles,11,0,0,0,Sporadic cases,16
Gambia,10,0,1,0,Sporadic cases,2
Mauritania,7,0,1,0,Sporadic cases,12
São Tomé and Príncipe,7,3,0,0,Sporadic cases,0
South Sudan,4,0,0,0,Sporadic cases,11
Territories**,,,,,,
Réunion,410,0,0,0,Clusters of cases,1
Mayotte,326,15,4,0,Clusters of cases,0
Subtotal for all Regions,2544080,73657,175681,6689,,
International conveyance (Diamond Princess),712,0,13,0,Not Applicable††,38
Grand total,2544792,73657,175694,6689,,
