Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83071,66,3340,0,Local transmission,0
Republic of Korea,10331,47,192,6,Local transmission,0
Australia,5844,100,42,6,Local transmission,0
Japan,3906,252,80,7,Local transmission,0
Malaysia,3793,131,62,1,Local transmission,0
Philippines,3660,414,163,11,Local transmission,0
Singapore,1375,66,6,0,Local transmission,0
New Zealand,943,32,1,0,Local transmission,0
Viet Nam,245,4,0,0,Local transmission,0
Brunei Darussalam,135,0,1,0,Local transmission,2
Cambodia,115,1,0,0,Local transmission,0
Mongolia,15,1,0,0,Imported cases only,0
Fiji,14,2,0,0,Local transmission,0
Lao People's Democratic Republic,12,1,0,0,Local transmission,0
Papua New Guinea,1,0,0,0,Imported cases only,17
Territories**,,,,,,
Guam,113,1,4,0,Local transmission,0
French Polynesia,42,1,0,0,Local transmission,0
New Caledonia,18,0,0,0,Local transmission,4
Northern Mariana Islands (Commonwealth of the),8,0,1,0,Local transmission,4
European Region,,,,,,
Spain,135032,4273,13055,637,Local transmission,0
Italy,132547,3599,16525,636,Local transmission,0
Germany,99225,3834,1607,173,Local transmission,0
France,73488,3881,8896,832,Local transmission,0
The United Kingdom,51612,3802,5373,439,Local transmission,0
Turkey,30217,3148,649,75,Local transmission,0
Switzerland,21574,509,715,0,Local transmission,0
Belgium,20814,1123,1632,185,Local transmission,0
Netherlands,18803,952,1867,101,Local transmission,0
Austria,12297,314,220,16,Local transmission,0
Portugal,11730,452,311,16,Local transmission,0
Israel,8611,593,52,6,Local transmission,0
Sweden,7206,376,477,76,Local transmission,0
Russian Federation,6343,954,47,2,Local transmission,0
Norway,5755,115,59,1,Local transmission,0
Ireland,5364,253,174,16,Local transmission,0
Czechia,4822,235,78,11,Local transmission,0
Denmark,4681,312,187,8,Local transmission,0
Poland,4413,311,107,13,Local transmission,0
Romania,4057,193,157,9,Local transmission,0
Luxembourg,2843,39,41,5,Local transmission,0
Serbia,2200,292,58,7,Local transmission,0
Finland,2176,249,28,0,Local transmission,0
Greece,1755,20,79,6,Local transmission,0
Iceland,1562,76,6,2,Local transmission,0
Ukraine,1462,143,45,7,Local transmission,0
Croatia,1222,40,16,1,Local transmission,0
Estonia,1108,11,19,4,Local transmission,0
Slovenia,1021,24,30,2,Local transmission,0
Republic of Moldova,965,101,19,4,Local transmission,0
Lithuania,843,32,14,1,Local transmission,0
Armenia,833,87,8,1,Local transmission,0
Hungary,817,73,47,9,Local transmission,0
Belarus,700,138,13,5,Local transmission,0
Bosnia and Herzegovina,695,33,28,7,Local transmission,0
Kazakhstan,670,66,6,1,Local transmission,0
Azerbaijan,641,57,7,2,Local transmission,0
North Macedonia,570,15,21,3,Local transmission,0
Bulgaria,549,18,22,2,Local transmission,0
Latvia,542,9,1,0,Local transmission,0
Andorra,540,17,21,4,Local transmission,0
Slovakia,534,49,2,2,Local transmission,0
Uzbekistan,472,82,2,0,Local transmission,0
Cyprus,465,19,14,0,Local transmission,0
Albania,377,0,22,1,Local transmission,1
San Marino,277,11,32,0,Local transmission,0
Malta,241,7,0,0,Local transmission,0
Kyrgyzstan,228,12,4,0,Local transmission,0
Montenegro,223,20,2,0,Local transmission,0
Georgia,195,7,2,0,Local transmission,0
Liechtenstein,78,0,1,0,Under investigation,1
Monaco,40,3,0,0,Local transmission,0
Holy See,7,0,0,0,Under investigation,4
Territories**,,,,,,
Faroe Islands,181,0,0,0,Local transmission,2
Kosovo[1],165,20,3,2,Local transmission,0
Jersey,155,0,3,0,Local transmission,1
Guernsey,154,0,3,0,Local transmission,1
Isle of Man,127,0,1,0,Local transmission,1
Gibraltar,103,0,1,0,Local transmission,1
Greenland,11,0,0,0,Under investigation,1
South-East Asia Region,,,,,,
India,4067,0,109,0,Local transmission,1
Indonesia,2491,218,209,11,Local transmission,0
Thailand,2220,51,26,3,Local transmission,0
Sri Lanka,176,0,5,0,Local transmission,1
Bangladesh,123,35,12,4,Local transmission,0
Myanmar,21,0,1,0,Local transmission,1
Maldives,19,0,0,0,Local transmission,4
Nepal,9,0,0,0,Local transmission,2
Bhutan,5,0,0,0,Imported cases only,4
Timor-Leste,1,0,0,0,Imported cases only,17
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),60500,2274,3739,136,Local transmission,0
Pakistan,3864,587,54,4,Local transmission,0
Saudi Arabia,2752,289,38,4,Local transmission,0
United Arab Emirates,2076,277,11,1,Local transmission,0
Qatar,1832,228,4,0,Local transmission,0
Egypt,1322,149,85,7,Local transmission,0
Morocco,1141,28,83,12,Local transmission,0
Iraq,1031,70,64,3,Local transmission,0
Bahrain,756,56,4,0,Local transmission,0
Kuwait,665,109,1,0,Local transmission,0
Tunisia,596,22,22,0,Local transmission,0
Lebanon,541,14,19,1,Local transmission,0
Oman,371,40,2,0,Local transmission,0
Afghanistan,367,30,11,4,Local transmission,0
Jordan,349,4,6,1,Local transmission,0
Djibouti,90,31,0,0,Local transmission,0
Syrian Arab Republic,19,0,2,0,Local transmission,1
Libya,18,0,1,0,Local transmission,1
Sudan,14,2,2,0,Local transmission,0
Somalia,7,0,0,0,Local transmission,3
Territories**,,,,,,
occupied Palestinian territory,254,8,1,0,Local transmission,0
Region of the Americas,,,,,,
United States of America,333811,26493,9559,1201,Local transmission,0
Canada,15806,1902,293,62,Local transmission,0
Brazil,11130,852,486,54,Local transmission,0
Chile,4815,344,37,3,Local transmission,0
Ecuador,3747,282,191,19,Local transmission,0
Peru,2281,535,83,10,Local transmission,0
Mexico,2143,253,94,15,Local transmission,0
Panama,1988,187,54,8,Local transmission,0
Dominican Republic,1828,340,86,18,Local transmission,0
Argentina,1554,103,46,2,Local transmission,0
Colombia,1485,79,35,3,Local transmission,0
Costa Rica,454,19,2,0,Local transmission,0
Uruguay,406,6,6,1,Local transmission,0
Cuba,350,30,9,1,Local transmission,0
Honduras,298,30,22,0,Local transmission,0
Bolivia (Plurinational State of),183,26,11,1,Local transmission,0
Venezuela (Bolivarian Republic of),159,15,3,0,Local transmission,0
Paraguay,113,9,5,2,Local transmission,0
Trinidad and Tobago,105,2,8,2,Local transmission,0
Guatemala,70,9,3,1,Local transmission,0
El Salvador,69,7,3,0,Local transmission,0
Jamaica,58,3,3,0,Local transmission,0
Barbados,56,5,1,1,Local transmission,0
Bahamas,29,1,5,1,Local transmission,0
Guyana,29,5,4,0,Local transmission,0
Haiti,24,3,1,1,Imported cases only,0
Antigua and Barbuda,15,8,0,0,Local transmission,0
Dominica,14,3,0,0,Local transmission,0
Saint Lucia,14,0,0,0,Local transmission,1
Grenada,12,0,0,0,Local transmission,2
Saint Kitts and Nevis,10,1,0,0,Imported cases only,0
Suriname,10,0,1,1,Local transmission,3
Belize,7,2,1,1,Local transmission,0
Saint Vincent and the Grenadines,7,4,0,0,Imported cases only,0
Nicaragua,6,1,1,0,Imported cases only,0
Territories**,,,,,,
Puerto Rico,513,61,21,3,Local transmission,0
Martinique,149,4,4,1,Local transmission,0
