Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,83696,99,3351,0,Clusters of cases,0
Republic of Korea,10564,27,222,5,Clusters of cases,0
Japan,7645,390,109,7,Clusters of cases,0
Australia,6366,44,61,0,Clusters of cases,0
Philippines,4932,284,315,18,Clusters of cases,0
Malaysia,4817,134,77,1,Clusters of cases,0
Singapore,2918,386,9,1,Clusters of cases,0
New Zealand,1072,8,9,4,Sporadic cases,0
Viet Nam,265,3,0,0,Clusters of cases,0
Brunei Darussalam,136,0,1,0,Sporadic cases,3
Cambodia,122,0,0,0,Sporadic cases,2
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,1
Mongolia,17,1,0,0,Sporadic cases,0
Fiji,16,0,0,0,Sporadic cases,3
Papua New Guinea,2,0,0,0,Sporadic cases,5
Territories**,,,,,,
Guam,134,1,5,0,Clusters of cases,0
French Polynesia,55,2,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,11
Northern Mariana Islands (Commonwealth of the),11,0,2,0,Pending,5
European Region,,,,,,
Spain,169496,3477,17489,517,Pending,0
Italy,159516,3153,20465,564,Pending,0
Germany,125098,2082,2969,170,Pending,0
France,97050,2668,14946,572,Pending,0
The United Kingdom,88625,4342,11329,717,Pending,0
Turkey,61049,4093,1296,98,Community transmission,0
Belgium,30589,942,3903,303,Pending,0
Netherlands,26551,964,2823,86,Pending,0
Switzerland,25499,279,885,27,Community transmission,0
Russian Federation,21102,2774,170,22,Clusters of cases,0
Portugal,16934,349,535,31,Pending,0
Austria,14043,106,368,18,Pending,0
Israel,11235,357,110,7,Pending,0
Sweden,10948,465,919,20,Pending,0
Ireland,10647,992,365,31,Pending,0
Poland,6934,260,245,13,Pending,0
Romania,6633,333,318,12,Pending,0
Norway,6488,73,114,11,Pending,0
Denmark,6318,144,285,12,Pending,0
Czechia,6059,68,143,5,Pending,0
Serbia,4054,424,85,5,Pending,0
Ukraine,3372,270,98,5,Clusters of cases,0
Luxembourg,3292,11,69,3,Pending,0
Finland,3064,90,59,3,Pending,0
Belarus,2919,341,29,3,Clusters of cases,0
Greece,2145,31,99,1,Pending,0
Republic of Moldova,1712,50,36,3,Pending,0
Iceland,1711,10,8,0,Pending,0
Croatia,1650,50,25,2,Pending,0
Hungary,1512,54,122,13,Pending,0
Estonia,1332,23,28,3,Pending,0
Slovenia,1212,7,55,2,Pending,0
Azerbaijan,1148,50,12,1,Clusters of cases,0
Kazakhstan,1091,112,12,0,Pending,0
