Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84201,21,4642,0,Clusters of cases,0
Republic of Korea,10661,8,234,2,Clusters of cases,0
Japan,10361,566,161,7,Clusters of cases,0
Australia,6586,53,69,2,Clusters of cases,0
Philippines,6087,209,397,10,Clusters of cases,0
Singapore,5573,523,11,0,Clusters of cases,0
Malaysia,5305,54,88,2,Clusters of cases,0
New Zealand,1098,4,11,0,Clusters of cases,0
Viet Nam,268,0,0,0,Clusters of cases,2
Brunei Darussalam,137,1,1,0,Sporadic cases,0
Cambodia,122,0,0,0,Sporadic cases,7
Mongolia,31,0,0,0,Sporadic cases,2
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,6
Fiji,17,0,0,0,Sporadic cases,2
Papua New Guinea,7,0,0,0,Sporadic cases,2
Territories**,,,,,,
Guam,136,1,5,0,Clusters of cases,0
French Polynesia,55,0,0,0,Sporadic cases,5
New Caledonia,18,0,0,0,Sporadic cases,16
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,1
European Region,,,,,,
Spain,191726,3658,20043,565,Pending,0
Italy,175925,3491,23227,480,Pending,0
Germany,139897,2458,4294,184,Pending,0
The United Kingdom,114221,5525,15464,888,Pending,0
France,110721,2558,19294,635,Pending,0
Turkey,82329,3783,1890,121,Community transmission,0
Russian Federation,42853,6060,361,48,Clusters of cases,0
Belgium,37183,1045,5453,290,Pending,0
Netherlands,31589,1140,3601,142,Pending,0
Switzerland,27322,325,1110,52,Community transmission,0
Portugal,19685,663,687,30,Pending,0
Ireland,14758,778,571,41,Pending,0
Austria,14662,59,443,12,Pending,0
Sweden,13822,606,1511,111,Pending,0
Israel,13107,252,158,10,Pending,0
Poland,8742,363,347,15,Pending,0
Romania,8418,351,417,17,Pending,0
Denmark,7242,169,346,10,Pending,0
Norway,6984,193,148,12,Pending,0
Czechia,6654,105,181,8,Pending,0
Serbia,5994,304,117,7,Pending,0
Ukraine,5449,343,141,8,Community transmission,0
