Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84237,36,4642,0,Clusters of cases,0
Japan,10751,390,171,10,Clusters of cases,0
Republic of Korea,10674,13,236,2,Clusters of cases,0
Australia,6612,26,70,1,Clusters of cases,0
Singapore,6588,596,11,0,Clusters of cases,0
Philippines,6259,172,409,12,Clusters of cases,0
Malaysia,5389,84,89,1,Clusters of cases,0
New Zealand,1105,7,12,1,Clusters of cases,0
Viet Nam,268,0,0,0,Clusters of cases,3
Brunei Darussalam,138,1,1,0,Sporadic cases,0
Cambodia,122,0,0,0,Sporadic cases,8
Mongolia,32,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,7
Fiji,17,0,0,0,Sporadic cases,3
Papua New Guinea,7,0,0,0,Sporadic cases,3
Territories**,,,,,,
Guam,133,0,5,0,Clusters of cases,8
French Polynesia,55,0,0,0,Sporadic cases,6
New Caledonia,18,0,0,0,Sporadic cases,17
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,2
European Region,,,,,,
Spain,195944,4218,20453,410,Pending,0
Italy,178972,3047,23660,433,Pending,0
Germany,141672,1775,4404,110,Pending,0
The United Kingdom,120071,5850,16060,596,Pending,0
France,111463,742,19689,395,Pending,0
Turkey,86306,3977,2017,127,Community transmission,0
Russian Federation,42853,0,361,0,Clusters of cases,1
Belgium,38496,1313,5683,230,Pending,0
Netherlands,32655,1066,3684,83,Pending,0
Switzerland,27658,336,1134,24,Community transmission,0
Portugal,20206,521,714,27,Pending,0
Ireland,15251,493,610,39,Pending,0
Austria,14710,48,452,9,Pending,0
Sweden,14385,563,1540,29,Pending,0
Israel,13362,255,171,13,Pending,0
Poland,9287,545,360,13,Pending,0
Romania,8746,328,434,17,Pending,0
Denmark,7384,142,355,9,Pending,0
Norway,7068,84,154,6,Pending,0
Czechia,6787,133,188,7,Pending,0
Serbia,6318,324,122,5,Pending,0
Ukraine,5710,261,151,10,Community transmission,0
Belarus,4779,0,47,2,Clusters of cases,2
Finland,3783,102,94,4,Pending,0
Luxembourg,3550,13,73,1,Pending,0
Republic of Moldova,2472,121,67,7,Pending,0
Greece,2235,28,110,5,Pending,0
Hungary,1984,68,199,10,Pending,0
Croatia,1871,39,47,8,Pending,0
Iceland,1771,11,9,0,Pending,0
Uzbekistan,1565,70,5,0,Clusters of cases,0
Kazakhstan,1546,0,17,0,Pending,2
Estonia,1528,16,40,2,Pending,0
Azerbaijan,1398,25,19,1,Clusters of cases,0
Slovenia,1330,13,74,4,Pending,0
Lithuania,1326,28,36,3,Pending,0
Armenia,1291,43,20,0,Clusters of cases,0
Bosnia and Herzegovina,1286,18,46,0,Community transmission,0
North Macedonia,1207,37,51,2,Clusters of cases,0
Slovakia,1161,72,12,1,Pending,0
Bulgaria,915,37,43,2,Pending,0
Cyprus,767,6,17,0,Pending,0
Latvia,727,15,5,0,Pending,0
Andorra,717,13,36,1,Community transmission,0
Kyrgyzstan,568,14,7,2,Pending,0
Albania,562,14,26,0,Clusters of cases,0
San Marino,461,6,39,0,Community transmission,0
Malta,427,1,3,0,Pending,0
Georgia,399,5,4,0,Clusters of cases,0
Montenegro,308,0,5,0,Clusters of cases,1
Monaco,98,0,1,0,Sporadic cases,2
Liechtenstein,82,0,1,0,Pending,1
Holy See,8,0,0,0,Sporadic cases,11
Territories**,,,,,,
Kosovo[1],535,25,12,0,Community transmission,0
Isle of Man,297,6,4,0,Pending,0
Jersey,245,11,12,1,Pending,0
Guernsey,239,3,9,0,Pending,0
Faroe Islands,185,1,0,0,Pending,0
Gibraltar,133,0,0,0,Pending,2
Greenland,11,0,0,0,Pending,14
South-East Asia Region,,,,,,
India,17265,1553,543,36,Clusters of cases,0
Indonesia,6575,327,582,47,Community transmission,0
Thailand,2792,27,47,0,Pending,0
Bangladesh,2456,312,91,7,Pending,0
Sri Lanka,271,17,7,0,Clusters of cases,0
Myanmar,111,4,5,0,Clusters of cases,0
Maldives,51,17,0,0,Sporadic cases,0
Nepal,31,0,0,0,Sporadic cases,1
