Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84311,9,4642,0,Clusters of cases,0
Japan,12388,469,317,30,Clusters of cases,0
Singapore,11178,1037,12,0,Clusters of cases,0
Republic of Korea,10708,6,240,0,Clusters of cases,0
Philippines,6981,271,462,16,Clusters of cases,0
Australia,6667,13,76,2,Clusters of cases,0
Malaysia,5603,71,95,2,Clusters of cases,0
New Zealand,1114,2,17,1,Clusters of cases,0
Viet Nam,268,0,0,0,Clusters of cases,7
Brunei Darussalam,138,0,1,0,Sporadic cases,4
Cambodia,122,0,0,0,Sporadic cases,12
Mongolia,35,0,0,0,Sporadic cases,1
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,11
Fiji,18,0,0,0,Sporadic cases,3
Papua New Guinea,8,0,0,0,Sporadic cases,1
Territories**,,,,,,
Guam,135,2,5,0,Clusters of cases,0
French Polynesia,57,0,0,0,Sporadic cases,2
New Caledonia,18,0,0,0,Sporadic cases,21
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,6
European Region,,,,,,
Spain,213024,4635,22157,440,Pending,0
Italy,189973,2646,25549,464,Community transmission,0
Germany,150383,2337,5321,227,Community transmission,0
The United Kingdom,138082,4583,18738,638,Community transmission,0
France,119583,1622,21823,516,Community transmission,0
Turkey,101790,3116,2491,115,Community transmission,0
Russian Federation,68622,5849,615,60,Clusters of cases,0
Belgium,42797,908,6490,228,Community transmission,0
Netherlands,35729,887,4177,123,Community transmission,0
Switzerland,28414,228,1267,51,Community transmission,0
Portugal,22353,371,820,35,Pending,0
Ireland,17607,936,794,25,Pending,0
Sweden,16755,751,2021,84,Community transmission,0
Austria,14985,61,508,14,Pending,0
Israel,14803,305,192,3,Pending,0
Poland,10511,342,454,28,Pending,0
Romania,10096,386,527,19,Community transmission,0
Denmark,8073,161,394,10,Pending,0
Belarus,8022,741,60,0,Clusters of cases,0
Ukraine,7647,477,193,6,Community transmission,0
Norway,7345,95,180,11,Pending,0
Serbia,7276,162,139,5,Pending,0
Czechia,7188,52,213,3,Community transmission,0
Finland,4284,155,172,23,Pending,0
Luxembourg,3665,11,83,3,Pending,0
Republic of Moldova,2926,148,80,4,Pending,0
Greece,2463,55,125,4,Pending,0
Hungary,2383,99,250,25,Clusters of cases,0
Kazakhstan,2025,0,19,0,Pending,1
Croatia,1981,31,50,2,Community transmission,0
Iceland,1789,4,10,0,Community transmission,0
Uzbekistan,1778,62,7,0,Clusters of cases,0
Estonia,1592,33,45,1,Pending,0
Azerbaijan,1548,30,20,0,Clusters of cases,0
Armenia,1523,50,24,0,Clusters of cases,0
Bosnia and Herzegovina,1413,46,53,1,Community transmission,0
Lithuania,1410,12,40,2,Pending,0
Slovenia,1366,13,79,0,Community transmission,0
Slovakia,1325,81,15,1,Clusters of cases,0
North Macedonia,1300,41,56,0,Clusters of cases,0
Bulgaria,1097,73,52,3,Pending,0
Cyprus,795,5,17,0,Clusters of cases,0
Latvia,778,17,11,0,Pending,0
Andorra,726,2,38,1,Community transmission,0
Albania,678,44,28,1,Clusters of cases,0
Kyrgyzstan,656,25,8,0,Pending,0
