Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Singapore,28 (4),21 (1),7 (3),0 (0),0
Japan,25 (2),21 (1),4 (1),0,0
Republic of Korea,23 (5),10 (1),11 (3),2 (1),0
Australia,14 (1),14 (1),0 (0),0 (0),0
Malaysia,12 (2),9 (2),2 (0),1 (0),0
Viet Nam,10 (0),7 (0),3 (0),0 (0),0
Philippines,3 (0),2 (0),0 (0),1 (0),1
Cambodia,1 (0),1 (0),0 (0),0 (0),0
Thailand,25 (0),21 (0),4 (0),0 (0),0
India,3 (0),3 (0),0 (0),0 (0),0
Nepal,1 (0),1 (0),0 (0),0 (0),0
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0
United States of America,12 (1),10 (1),2 (0),0 (0),0
Canada,5 (0),3 (0),0 (0),2 (0),0
Germany,12 (0),2 (0),10 (0),0 (0),0
France,6 (0),5 (0),1 (0),0 (0),0
Italy,2 (0),2 (0),0 (0),0 (0),0
Russian Federation,2 (0),2 (0),0 (0),0 (0),0
The United Kingdom,2 (0),1 (0),1 (0),0 (0),0
Belgium,1 (0),1 (0),0 (0),0 (0),0
Finland,1 (0),1 (0),0 (0),0 (0),0
Spain,1 (0),0 (0),1§ (0),0 (0),0
Sweden,1 (0),1 (0),0 (0),0 (0),0
United Arab Emirates,5 (0),5 (0),0 (0),0 (0),0
Cases on an international conveyance (Japan),20**(10),0(0),0(0),20 (10),0
