Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84287,37,4642,0,Clusters of cases,0
Japan,11496,378,277,91,Clusters of cases,0
Republic of Korea,10694,11,238,1,Clusters of cases,0
Singapore,9125,1111,11,0,Clusters of cases,0
Australia,6647,22,74,3,Clusters of cases,0
Philippines,6599,140,437,9,Clusters of cases,0
Malaysia,5482,58,92,3,Clusters of cases,0
New Zealand,1113,6,14,1,Clusters of cases,0
Viet Nam,268,0,0,0,Clusters of cases,5
Brunei Darussalam,138,0,1,0,Sporadic cases,2
Cambodia,122,0,0,0,Sporadic cases,10
Mongolia,34,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,9
Fiji,18,0,0,0,Sporadic cases,1
Papua New Guinea,7,0,0,0,Sporadic cases,5
Territories**,,,,,,
Guam,133,0,5,0,Clusters of cases,10
French Polynesia,57,1,0,0,Sporadic cases,0
New Caledonia,18,0,0,0,Sporadic cases,19
Northern Mariana Islands (Commonwealth of the),14,0,2,0,Pending,4
European Region,,,,,,
Spain,204178,3968,21282,430,Pending,0
Italy,183957,2729,24648,534,Community transmission,0
Germany,145694,2237,4879,281,Community transmission,0
The United Kingdom,129048,4301,17337,828,Pending,0
France,116151,2638,20763,530,Community transmission,0
Turkey,95591,4611,2259,119,Community transmission,0
Russian Federation,57999,5236,513,57,Clusters of cases,0
Belgium,40956,973,5998,170,Community transmission,0
Netherlands,34134,729,3916,165,Pending,0
Switzerland,27981,119,1186,45,Community transmission,0
Portugal,21379,516,762,27,Pending,0
Ireland,16040,388,730,43,Pending,0
Sweden,15322,545,1765,185,Pending,0
Austria,14833,50,463,1,Pending,0
Israel,13942,59,184,3,Pending,0
Poland,9856,263,401,21,Pending,0
Romania,9242,306,483,32,Community transmission,0
Denmark,7695,180,370,6,Pending,0
Norway,7166,53,163,9,Pending,0
Czechia,7041,127,201,5,Community transmission,0
Serbia,6890,260,130,5,Pending,0
Belarus,6723,459,55,4,Clusters of cases,0
Ukraine,6592,467,174,13,Community transmission,0
Finland,4014,146,141,43,Pending,0
Luxembourg,3618,60,78,3,Pending,0
Republic of Moldova,2641,93,73,3,Pending,0
Greece,2401,156,121,5,Pending,0
Hungary,2168,70,225,12,Clusters of cases,0
Kazakhstan,1995,143,19,0,Pending,0
Croatia,1908,27,48,1,Pending,0
Iceland,1778,5,10,0,Pending,0
Uzbekistan,1657,0,6,1,Clusters of cases,1
Estonia,1552,17,43,3,Pending,0
Azerbaijan,1480,44,20,1,Clusters of cases,0
Armenia,1377,38,24,2,Clusters of cases,0
Lithuania,1370,20,38,1,Pending,0
