Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84149,352,4642,1290,Clusters of cases,0
Republic of Korea,10635,22,230,1,Clusters of cases,0
Japan,9167,585,148,12,Clusters of cases,0
Australia,6468,10,63,0,Clusters of cases,0
Philippines,5660,207,362,13,Clusters of cases,0
Malaysia,5182,110,84,1,Clusters of cases,0
Singapore,4427,728,10,0,Clusters of cases,0
New Zealand,1086,2,11,2,Clusters of cases,0
Viet Nam,268,1,0,0,Clusters of cases,0
Brunei Darussalam,136,0,1,0,Sporadic cases,6
Cambodia,122,0,0,0,Sporadic cases,5
Mongolia,31,1,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,4
Fiji,17,1,0,0,Sporadic cases,0
Papua New Guinea,7,5,0,0,Sporadic cases,0
Territories**,,,,,,
Guam,135,0,5,0,Clusters of cases,2
French Polynesia,55,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,14
Northern Mariana Islands (Commonwealth of the),13,0,2,0,Pending,2
European Region,,,,,,
Spain,182816,5183,19130,551,Pending,0
Italy,168941,3786,22172,525,Pending,0
Germany,133830,3380,3868,299,Pending,0
France,107778,2623,17899,753,Pending,0
The United Kingdom,103097,4617,13729,861,Pending,0
Turkey,74193,4801,1643,125,Community transmission,0
Belgium,34809,1236,4857,417,Pending,0
Russian Federation,32008,4070,273,41,Clusters of cases,0
Netherlands,29214,1061,3315,181,Pending,0
Switzerland,26651,315,1016,43,Community transmission,0
Portugal,18841,750,629,30,Pending,0
Austria,14448,78,410,17,Pending,0
Ireland,13271,724,486,42,Pending,0
Israel,12591,391,140,14,Pending,0
Sweden,12540,613,1333,130,Pending,0
Poland,7918,336,314,28,Pending,0
Romania,7707,491,387,15,Pending,0
Denmark,6879,198,321,12,Pending,0
Norway,6791,114,136,6,Pending,0
Czechia,6433,130,169,3,Pending,0
Serbia,5318,445,103,4,Pending,0
Ukraine,4662,500,125,10,Community transmission,0
Belarus,4204,476,40,4,Clusters of cases,0
Luxembourg,3444,71,69,0,Pending,0
Finland,3369,132,75,3,Pending,0
Greece,2207,15,105,3,Pending,0
Republic of Moldova,2154,105,54,8,Pending,0
Croatia,1791,50,35,1,Pending,0
Hungary,1763,111,156,14,Pending,0
Iceland,1739,12,8,0,Pending,0
Kazakhstan,1480,185,16,0,Pending,0
Estonia,1434,32,36,1,Pending,0
Uzbekistan,1380,31,4,0,Clusters of cases,0
Azerbaijan,1283,30,15,2,Clusters of cases,0
Slovenia,1268,20,61,0,Pending,0
Bosnia and Herzegovina,1169,53,42,1,Community transmission,0
Armenia,1159,24,18,0,Clusters of cases,0
