Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,82631,86,3321,7,Local transmission,0
Republic of Korea,9887,101,165,3,Local transmission,0
Australia,4707,348,20,2,Local transmission,0
Malaysia,2766,140,43,6,Local transmission,0
Japan,2178,225,57,1,Local transmission,0
Philippines,2084,538,88,10,Local transmission,0
Singapore,926,47,3,0,Local transmission,0
New Zealand,647,47,1,0,Local transmission,0
Viet Nam,207,4,0,0,Local transmission,0
Brunei Darussalam,129,2,1,0,Local transmission,0
Cambodia,109,2,0,0,Local transmission,0
Mongolia,12,0,0,0,Imported cases only,4
Lao People's Democratic Republic,9,1,0,0,Local transmission,0
Fiji,5,0,0,0,Local transmission,6
Papua New Guinea,1,0,0,0,Imported cases only,11
Territories**,,,,,,
Guam,69,11,2,1,Local transmission,0
French Polynesia,37,1,0,0,Local transmission,0
New Caledonia,16,1,0,0,Local transmission,0
Northern Mariana Islands (Commonwealth of the),2,0,0,0,Under investigation,3
European Region,,,,,,
Italy,105792,4053,12430,839,Local transmission,0
Spain,94417,9222,8189,849,Local transmission,0
Germany,67366,5453,732,149,Local transmission,0
France,51477,7500,3514,497,Local transmission,0
The United Kingdom,25154,3009,1789,381,Local transmission,0
Switzerland,16108,696,373,78,Local transmission,0
Turkey,13531,2704,214,46,Local transmission,0
Belgium,12775,876,705,192,Local transmission,0
Netherlands,12595,845,1039,175,Local transmission,0
Austria,10182,564,128,20,Local transmission,0
Portugal,7443,1035,160,20,Local transmission,0
Israel,5129,298,21,4,Local transmission,0
Norway,4447,221,28,2,Local transmission,0
Sweden,4435,407,180,34,Local transmission,0
Czechia,3308,306,31,7,Local transmission,0
Ireland,3235,325,71,17,Local transmission,0
Denmark,2860,283,90,13,Local transmission,0
Russian Federation,2337,500,17,8,Local transmission,0
Poland,2311,256,33,2,Local transmission,0
Romania,2245,293,69,25,Local transmission,0
Luxembourg,2178,190,23,1,Local transmission,0
Finland,1384,71,17,4,Local transmission,0
Greece,1314,102,49,6,Local transmission,0
Iceland,1135,49,2,0,Local transmission,0
Serbia,900,115,13,0,Local transmission,0
Croatia,867,77,6,0,Local transmission,0
Slovenia,814,51,13,2,Local transmission,0
Estonia,745,30,4,1,Local transmission,0
Ukraine,669,120,17,4,Local transmission,0
Lithuania,533,49,7,0,Local transmission,0
Armenia,532,50,3,0,Local transmission,0
Hungary,492,45,16,1,Local transmission,0
Bosnia and Herzegovina,413,54,12,3,Local transmission,0
Bulgaria,399,40,8,0,Local transmission,0
Latvia,398,22,0,0,Local transmission,0
Andorra,376,6,12,4,Local transmission,0
Slovakia,363,27,0,0,Local transmission,0
Republic of Moldova,353,55,3,1,Local transmission,0
Kazakhstan,348,36,2,1,Local transmission,0
North Macedonia,329,44,9,2,Local transmission,0
Azerbaijan,298,25,5,1,Local transmission,0
Cyprus,262,32,8,1,Local transmission,0
Albania,243,20,13,2,Local transmission,0
San Marino,236,6,26,1,Local transmission,0
Uzbekistan,173,24,2,0,Local transmission,0
Malta,167,11,0,0,Local transmission,0
Belarus,152,0,0,0,Local transmission,2
Georgia,115,12,0,0,Local transmission,0
Kyrgyzstan,111,4,0,0,Local transmission,0
Montenegro,105,14,2,1,Local transmission,0
Liechtenstein,68,4,0,0,Under investigation,0
Monaco,52,3,0,0,Local transmission,0
Holy See,6,0,0,0,Under investigation,2
Territories**,,,,,,
Faroe Islands,169,1,0,0,Local transmission,0
Kosovo[1],112,6,1,0,Local transmission,0
Gibraltar,69,0,0,0,Local transmission,1
Jersey,63,0,2,0,Local transmission,2
Guernsey,60,15,1,1,Local transmission,0
Isle of Man,52,10,0,0,Local transmission,0
Greenland,10,0,0,0,Under investigation,3
South-East Asia Region,,,,,,
Thailand,1771,247,12,3,Local transmission,0
India,1636,565,38,9,Local transmission,0
Indonesia,1528,114,136,14,Local transmission,0
Sri Lanka,143,23,2,1,Local transmission,0
Bangladesh,54,5,6,1,Local transmission,0
Maldives,18,1,0,0,Local transmission,0
Myanmar,15,5,1,1,Local transmission,0
Nepal,5,0,0,0,Imported cases only,3
Bhutan,4,0,0,0,Imported cases only,2
Timor-Leste,1,0,0,0,Under investigation,11
Eastern Mediterranean Region,,,,,,
Iran (Islamic Republic of),44606,3111,2898,141,Local transmission,0
Pakistan,2039,174,26,1,Local transmission,0
Saudi Arabia,1563,110,10,2,Local transmission,0
Qatar,781,88,2,1,Local transmission,0
Egypt,710,54,46,5,Local transmission,0
Iraq,694,64,50,4,Local transmission,0
United Arab Emirates,664,53,6,1,Local transmission,0
Morocco,638,64,36,3,Local transmission,0
Bahrain,567,52,4,0,Local transmission,0
Lebanon,463,17,12,1,Local transmission,0
Tunisia,394,32,10,1,Local transmission,0
Kuwait,289,23,0,0,Local transmission,0
Jordan,274,6,5,0,Local transmission,0
Oman,210,31,1,1,Local transmission,0
Afghanistan,192,26,4,0,Local transmission,0
Djibouti,31,5,0,0,Local transmission,0
Libya,10,2,0,0,Local transmission,0
Syrian Arab Republic,10,0,2,0,Imported cases only,1
Sudan,7,1,2,0,Imported cases only,0
Somalia,5,2,0,0,Imported cases only,0
Territories**,,,,,,
occupied Palestinian territory,134,17,1,0,Local transmission,0
Region of the Americas,,,,,,
United States of America,163199,22559,2850,452,Local transmission,0
Canada,7695,1378,89,23,Local transmission,0
Brazil,4579,323,159,23,Local transmission,0
Chile,2738,289,12,4,Local transmission,0
Ecuador,2240,278,75,15,Local transmission,0
Dominican Republic,1109,208,51,9,Local transmission,0
Mexico,1094,101,28,8,Local transmission,0
Peru,1065,213,24,13,Local transmission,0
Panama,989,0,24,0,Local transmission,1
Argentina,966,146,24,4,Local transmission,0
Colombia,798,96,14,4,Local transmission,0
Uruguay,320,11,1,1,Local transmission,0
Costa Rica,314,0,2,0,Local transmission,1
Cuba,186,16,6,2,Local transmission,0
Honduras,139,0,2,0,Local transmission,1
Venezuela (Bolivarian Republic of),129,0,3,0,Local transmission,1
Bolivia (Plurinational State of),107,10,6,1,Local transmission,0
Trinidad and Tobago,85,3,3,0,Local transmission,0
Paraguay,65,1,3,0,Local transmission,0
Guatemala,36,0,1,0,Local transmission,1
Jamaica,36,0,1,0,Local transmission,1
Barbados,33,0,0,0,Local transmission,1
El Salvador,30,0,0,0,Local transmission,1
Haiti,15,0,0,0,Imported cases only,2
Bahamas,14,0,0,0,Local transmission,1
Guyana,12,4,2,1,Local transmission,0
Dominica,11,0,0,0,Local transmission,5
Grenada,9,0,0,0,Local transmission,1
Saint Lucia,9,0,0,0,Local transmission,1
Saint Kitts and Nevis,8,6,0,0,Imported cases only,0
Suriname,8,0,0,0,Imported cases only,4
Antigua and Barbuda,7,0,0,0,Imported cases only,4
Nicaragua,4,0,1,0,Imported cases only,3
Belize,3,0,0,0,Local transmission,1
Saint Vincent and the Grenadines,1,0,0,0,Imported cases only,19
Territories**,,,,,,
Puerto Rico,239,65,8,2,Local transmission,0
Martinique,119,8,2,0,Local transmission,0
Guadeloupe,114,8,5,1,Local transmission,0
Aruba,55,5,0,0,Local transmission,0
French Guiana,46,3,0,0,Local transmission,0
United States Virgin Islands,30,0,0,0,Local transmission,1
Bermuda,27,5,0,0,Local transmission,0
Saint Martin,18,0,2,1,Under investigation,1
Cayman Islands,12,0,1,0,Imported cases only,1
Curaçao,11,0,1,0,Imported cases only,1
Saint Barthélemy,6,0,0,0,Under investigation,1
Sint Maarten,6,0,0,0,Imported cases only,1
Montserrat,5,0,0,0,Imported cases only,4
Turks and Caicos Islands,5,0,0,0,Local transmission,1
British Virgin Islands,3,1,0,0,Imported cases only,0
Anguilla,2,0,0,0,Local transmission,5
African Region,,,,,,
South Africa,1353,27,5,2,Local transmission,0
Algeria,584,73,35,4,Local transmission,0
Burkina Faso,261,15,14,2,Local transmission,0
Senegal,175,13,0,0,Local transmission,0
Cote d’Ivoire,169,0,0,0,Local transmission,1
Ghana,152,0,5,0,Local transmission,2
Mauritius,143,36,5,3,Local transmission,0
Cameroon,139,0,6,0,Local transmission,1
Nigeria,111,0,1,0,Local transmission,1
Democratic Republic of the Congo,109,11,8,0,Local transmission,0
Rwanda,75,5,0,0,Local transmission,0
Madagascar,53,7,0,0,Local transmission,0
Kenya,50,12,1,0,Local transmission,0
Zambia,35,0,0,0,Local transmission,1
Togo,34,0,1,0,Local transmission,1
Uganda,33,0,0,0,Local transmission,2
Ethiopia,26,3,0,0,Local transmission,0
Niger,20,0,3,0,Local transmission,2
Congo,19,0,0,0,Imported cases only,4
United Republic of Tanzania,19,0,1,1,Under investigation,1
Mali,18,0,0,0,Local transmission,3
Guinea,16,0,0,0,Local transmission,2
Equatorial Guinea,14,0,0,0,Local transmission,1
Namibia,11,0,0,0,Imported cases only,2
Benin,9,3,0,0,Imported cases only,0
Eswatini,9,0,0,0,Imported cases only,4
Guinea-Bissau,9,7,0,0,Imported cases only,0
Mozambique,8,0,0,0,Local transmission,3
Seychelles,8,0,0,0,Imported cases only,2
Zimbabwe,8,3,1,0,Local transmission,0
Angola,7,5,2,2,Imported cases only,0
Chad,7,2,0,0,Imported cases only,0
Gabon,7,0,1,0,Imported cases only,4
Central African Republic,6,0,0,0,Imported cases only,4
Eritrea,6,0,0,0,Imported cases only,5
Cabo Verde,5,0,1,0,Imported cases only,4
Mauritania,5,0,0,0,Imported cases only,3
Botswana,3,3,0,0,Imported cases only,0
Gambia,3,0,1,0,Imported cases only,3
Liberia,3,0,0,0,Local transmission,10
Burundi,2,2,0,0,Imported cases only,0
Sierra Leone,1,1,0,0,Imported cases only,0
Territories**,,,,,,
Réunion,247,40,0,0,Local transmission,0
Mayotte,101,19,0,0,Local transmission,0
Subtotal for all regions,822 914,72 736,40 591,4193,,
International conveyance (Diamond Princess),712,0,7,0,Local transmission,16
Grand total,823 626,72 736,40 598,4193,,
