Country,Confimed cases(new),Total cases with travel history to China(new),Total cases with possible or confirmed transmission outside of China(new),Total cases with site of transmission under investigation(new),Total deaths(new)
Singapore,33 (3),21 (0),12 (3),0 (0),0 (0)
Japan,25 (0),21 (0),4 (0),0 (0),0 (0)
Republic of Korea,24 (0),11 (0),11 (0),2 (0),0 (0)
Australia,15 (0),15 (0),0 (0),0 (0),0 (0)
Malaysia,15 (1),9 (0),4 (0),2 (1),0 (0)
Viet Nam,13 (1),8 (1),5 (0),0 (0),0 (0)
Philippines,3 (0),2 (0),0 (0),1 (0),1 (0)
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0)
Thailand,32 (7),22 (1),6 (2),4 (4),0 (0)
India,3 (0),3 (0),0 (0),0 (0),0 (0)
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0)
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0)
United States of America,12 (0),10 (0),2 (0),0 (0),
Canada,7 (0),6 (0),0 (0),1 (0),0 (0)
Germany,14 (1),3 (1),11 (0),0 (0),0 (0)
France,6 (0),5 (0),1 (0),0 (0),0 (0)
Italy,3 (0),3 (0),0 (0),0 (0),0 (0)
The United Kingdom,3 (0),1 (0),2*** (0),0 (0),0 (0)
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0)
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0)
Finland,1 (0),1 (0),0 (0),0 (0),0 (0)
Spain,1 (0),0 (0),1§ (0),0 (0),0 (0)
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0)
United Arab Emirates,7 (2),5 (0),0 (0),2 (2),
International conveyance (Japan),64** (3),0 (0),0 (0),64 (3),
