Reporting Country/ Territory/Area†,Total confirmed‡ cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification§,Days since last reported case
Western Pacific Region,,,,,,
China,84180,31,4642,0,Clusters of cases,0
Republic of Korea,10653,18,232,2,Clusters of cases,0
Japan,9795,628,154,6,Clusters of cases,0
Australia,6533,65,67,4,Clusters of cases,0
Philippines,5878,218,387,25,Clusters of cases,0
Malaysia,5251,69,86,2,Clusters of cases,0
Singapore,5050,623,11,1,Clusters of cases,0
New Zealand,1094,8,11,0,Clusters of cases,0
Viet Nam,268,0,0,0,Clusters of cases,1
Brunei Darussalam,136,0,1,0,Sporadic cases,7
Cambodia,122,0,0,0,Sporadic cases,6
Mongolia,31,0,0,0,Sporadic cases,1
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,5
Fiji,17,0,0,0,Sporadic cases,1
Papua New Guinea,7,0,0,0,Sporadic cases,1
Territories**,,,,,,
Guam,135,0,5,0,Clusters of cases,3
French Polynesia,55,0,0,0,Sporadic cases,4
New Caledonia,18,0,0,0,Sporadic cases,15
Northern Mariana Islands (Commonwealth of the),14,1,2,0,Pending,0
European Region,,,,,,
Spain,188068,5252,19478,348,Pending,0
Italy,172434,3493,22747,575,Pending,0
Germany,137439,3609,4110,242,Pending,0
The United Kingdom,108696,5599,14576,847,Pending,0
France,108163,385,18659,760,Pending,0
Turkey,78546,4353,1769,126,Community transmission,0
Russian Federation,36793,4785,313,40,Clusters of cases,0
Belgium,36138,1329,5163,306,Pending,0
Netherlands,30449,1235,3459,144,Pending,0
Switzerland,26997,346,1058,42,Community transmission,0
Portugal,19022,181,657,28,Pending,0
Austria,14603,155,431,21,Pending,0
Ireland,13980,709,530,44,Pending,0
Sweden,13216,676,1400,67,Pending,0
Israel,12855,264,148,8,Pending,0
Poland,8379,461,332,18,Pending,0
Romania,8067,360,400,13,Pending,0
Denmark,7073,194,336,15,Pending,0
Norway,6791,0,136,0,Pending,1
Czechia,6549,116,173,4,Pending,0
Serbia,5690,372,110,7,Pending,0
Ukraine,5106,444,133,8,Community transmission,0
Belarus,4779,575,43,3,Clusters of cases,0
Finland,3489,120,82,7,Pending,0
Luxembourg,3480,36,72,3,Pending,0
Republic of Moldova,2264,110,56,2,Pending,0
Greece,2207,0,105,0,Pending,1
Hungary,1834,71,172,16,Pending,0
Croatia,1814,23,36,1,Pending,0
Iceland,1754,15,8,0,Pending,0
